documentation_href,total_users,total_workflow_operations,unique_operations,success_users,failed_users,skipped_users
https://docs.github.com/en/actions/writing-workflows/workflow-syntax-for-github-actions,21946,38157,3,19444,16438,2275
https://docs.github.com/en/actions/writing-workflows/choosing-when-your-workflow-runs/events-that-trigger-workflows,19888,34685,3,18166,13697,2822
https://docs.github.com/en/actions/writing-workflows/choosing-what-your-workflow-does/store-information-in-variables,17389,30529,3,15301,13711,1517
https://docs.github.com/en/actions,16451,24924,3,13943,10078,903
https://docs.github.com/en/actions/security-for-github-actions/security-guides/using-secrets-in-github-actions,14382,23633,3,11755,11069,809
https://docs.github.com/en/actions/writing-workflows/quickstart,10637,16651,3,8713,7465,473
https://docs.github.com/en/actions/writing-workflows/choosing-what-your-workflow-does/accessing-contextual-information-about-workflow-runs,9706,17485,3,8886,7348,1251
https://docs.github.com/en/billing/managing-billing-for-your-products/managing-billing-for-github-actions/about-billing-for-github-actions,9693,13374,3,8574,4322,478
https://docs.github.com/en/actions/writing-workflows/choosing-what-your-workflow-does/evaluate-expressions-in-workflows-and-actions,9166,16757,3,8440,6949,1368
https://docs.github.com/en/actions/using-github-hosted-runners/using-github-hosted-runners/about-github-hosted-runners,8961,14891,3,7596,6519,776
