documentation_href,unique_users
https://docs.github.com/en/enterprise-cloud@latest/copilot/managing-copilot/managing-github-copilot-in-your-organization/reviewing-activity-related-to-github-copilot-in-your-organization/reviewing-user-activity-data-for-copilot-in-your-organization,10
https://docs.github.com/en/copilot/troubleshooting-github-copilot/troubleshooting-firewall-settings-for-github-copilot,186
https://docs.github.com/en/copilot/using-github-copilot/finding-public-code-that-matches-github-copilot-suggestions,240
https://docs.github.com/en/enterprise-cloud@latest/copilot/managing-copilot/managing-copilot-for-your-enterprise/managing-the-copilot-subscription-for-your-enterprise/subscribing-to-copilot-for-your-enterprise,51
https://docs.github.com/en/copilot/managing-copilot/configure-personal-settings/configuring-network-settings-for-github-copilot?tool=vscode#configuring-proxy-settings-for-github-copilot,4
https://docs.github.com/en/copilot/example-prompts-for-github-copilot-chat/testing-code/create-mock-objects-to-abstract-layers,37
https://docs.github.com/ja/copilot/building-copilot-extensions/managing-the-availability-of-your-copilot-extension,3
https://docs.github.com/zh/copilot/about-github-copilot/github-copilot-features,57
https://docs.github.com/ru/enterprise-cloud@latest/copilot/using-github-copilot/indexing-repositories-for-copilot-chat,1
https://docs.github.com/de/copilot/using-github-copilot/asking-github-copilot-questions-in-github-mobile,29
https://docs.github.com/es/copilot/managing-copilot/configure-personal-settings/configuring-network-settings-for-github-copilot,4
https://docs.github.com/de/copilot/managing-copilot/configure-personal-settings/configuring-github-copilot-in-your-environment,10
https://docs.github.com/en/enterprise-cloud@latest/copilot/managing-copilot/managing-github-copilot-in-your-organization/managing-policies-for-copilot-in-your-organization#enabling-copilot-features-in-your-organization,30
https://docs.github.com/de/copilot/using-github-copilot/asking-github-copilot-questions-in-your-ide,16
https://docs.github.com/en/copilot/managing-copilot/managing-github-copilot-in-your-organization/managing-access-to-github-copilot-in-your-organization/granting-access-to-copilot-for-members-of-your-organization#reviewing-usage-data-for-github-copilot-for-business-in-your-organization,1
https://docs.github.com/fr/copilot/managing-copilot/configure-personal-settings/installing-the-github-copilot-extension-in-your-environment,4
https://docs.github.com/ja/copilot/troubleshooting-github-copilot/troubleshooting-common-issues-with-github-copilot,42
https://docs.github.com/ja/enterprise-cloud@latest/billing/managing-billing-for-your-products/managing-billing-for-github-copilot/about-billing-for-github-copilot,4
https://docs.github.com/zh/copilot/setting-up-github-copilot,3
https://docs.github.com/ja/enterprise-cloud@latest/copilot/example-prompts-for-github-copilot-chat/refactoring-code/refactoring-to-implement-a-design-pattern,1
